threshold,precision,recall,f1,flagged
-2.0,0.0036747084198753793,1.0,0.0073225087551735115,6259
-1.95,0.003681767248279174,1.0,0.00733652312599681,6247
-1.9,0.003691221312790884,1.0,0.007355292612727854,6231
-1.85,0.0037001287001287003,1.0,0.007372976438531816,6216
-1.8,0.0037162708030376475,1.0,0.007405022537025113,6189
-1.75,0.0037265068049254697,1.0,0.0074253430185633575,6172
-1.7,0.0037367993501218524,1.0,0.007445775331822596,6155
-1.65,0.0037483702737940027,1.0,0.007468744926124371,6136
-1.6,0.003763089005235602,1.0,0.007497962510187449,6112
-1.55,0.003778544438968293,1.0,0.0075286415711947625,6087
-1.5,0.00380479735318445,1.0,0.007580751483190508,6045
-1.45,0.0038250457342424746,1.0,0.007620941020543406,6013
-1.4,0.003848084323239083,1.0,0.007666666666666666,5977
-1.35,0.0038733580330077466,1.0,0.007716826035900017,5938
-1.2999999999999998,0.003899626992200746,1.0,0.007768957946292856,5898
-1.25,0.003935660506502395,1.0,0.007840463610022158,5844
-1.2,0.003981305175696728,1.0,0.007931034482758621,5777
-1.15,0.004020979020979021,1.0,0.008009751001218875,5720
-1.1,0.004076568592697625,1.0,0.008120035304501325,5642
-1.0499999999999998,0.004132231404958678,1.0,0.00823045267489712,5566
-1.0,0.0041856232939035485,1.0,0.008336353751359188,5495
-0.95,0.004248245289988918,1.0,0.008460548096376677,5414
-0.8999999999999999,0.004315196998123828,1.0,0.00859331216140482,5330
-0.8499999999999999,0.004376784015223597,1.0,0.008715422508525956,5255
-0.7999999999999998,0.004454774355994577,1.0,0.00887003470883147,5163
-0.75,0.004544556411776329,1.0,0.00904799370574351,5061
-0.7,0.004613841524573721,1.0,0.009185303514376996,4985
-0.6499999999999999,0.004682410423452769,1.0,0.009321175278622086,4912
-0.5999999999999999,0.004762890867674467,1.0,0.009480626545754328,4829
-0.5499999999999998,0.004843124868393346,1.0,0.009639564124056999,4749
-0.5,0.004933504933504933,1.0,0.009818569903948773,4662
-0.44999999999999996,0.005015263846489315,1.0,0.009980472987632893,4586
-0.3999999999999999,0.0051270619705751225,1.0,0.010201818585052118,4486
-0.34999999999999987,0.005239179954441914,1.0,0.010423748017221844,4390
-0.2999999999999998,0.005366308912739151,1.0,0.010675330703179392,4286
-0.25,0.005501076297536474,1.0,0.010941960038058992,4181
-0.19999999999999996,0.005670611439842209,1.0,0.01127727384162785,4056
-0.1499999999999999,0.005849440488301119,1.0,0.011630847029077117,3932
-0.09999999999999987,0.005807814149947202,0.9565217391304348,0.011545526108632905,3788
-0.04999999999999982,0.005786718104160926,0.9130434782608695,0.011500547645125958,3629
0.0,0.005758710048949035,0.8695652173913043,0.011441647597254004,3473
0.050000000000000266,0.006064281382656155,0.8695652173913043,0.012044564890093345,3298
0.10000000000000009,0.005774783445620789,0.782608695652174,0.011464968152866241,3117
0.1499999999999999,0.006058566139347021,0.782608695652174,0.012024048096192385,2971
0.20000000000000018,0.005285412262156448,0.6521739130434783,0.01048584411045089,2838
0.25,0.0051508462104488595,0.6086956521739131,0.010215249908792412,2718
0.30000000000000027,0.004574914220358368,0.5217391304347826,0.009070294784580499,2623
0.3500000000000001,0.0047694753577106515,0.5217391304347826,0.009452540370224497,2516
0.40000000000000036,0.004940304652120214,0.5217391304347826,0.009787928221859706,2429
0.4500000000000002,0.005130397605814451,0.5217391304347826,0.010160880609652836,2339
0.5,0.005335704757670075,0.5217391304347826,0.01056338028169014,2249
0.5500000000000003,0.005519779208831647,0.5217391304347826,0.010923987255348202,2174
0.6000000000000001,0.005700712589073635,0.5217391304347826,0.011278195488721804,2105
0.6500000000000004,0.005908419497784343,0.5217391304347826,0.011684518013631937,2031
0.7000000000000002,0.0056179775280898875,0.4782608695652174,0.01110550227158001,1958
0.75,0.005277044854881266,0.43478260869565216,0.010427528675703858,1895
0.8000000000000003,0.0049833887043189366,0.391304347826087,0.009841443411700382,1806
0.8500000000000001,0.005284791544333529,0.391304347826087,0.010428736964078795,1703
0.9000000000000004,0.005572755417956657,0.391304347826087,0.01098901098901099,1615
0.9500000000000002,0.005836575875486381,0.391304347826087,0.011501597444089457,1542
1.0,0.0055248618784530384,0.34782608695652173,0.010876954452753228,1448
1.0500000000000003,0.00583941605839416,0.34782608695652173,0.01148600143575018,1370
1.1,0.006279434850863423,0.34782608695652173,0.01233616037008481,1274
1.1500000000000004,0.005847953216374269,0.30434782608695654,0.011475409836065573,1197
1.2000000000000002,0.00618921308576481,0.30434782608695654,0.012131715771230503,1131
1.25,0.006578947368421052,0.30434782608695654,0.012879484820607176,1064
1.3000000000000003,0.005030181086519115,0.21739130434782608,0.00983284169124877,994
1.35,0.005387931034482759,0.21739130434782608,0.010515247108307046,928
1.4000000000000004,0.005793742757821553,0.21739130434782608,0.011286681715575621,863
1.4500000000000002,0.005037783375314861,0.17391304347826086,0.009791921664626682,794
1.5,0.0055248618784530384,0.17391304347826086,0.0107095046854083,724
1.5500000000000003,0.004622496147919877,0.13043478260869565,0.008928571428571428,649
1.6,0.00510204081632653,0.13043478260869565,0.009819967266775777,588
1.6500000000000004,0.005859375,0.13043478260869565,0.011214953271028037,512
1.7000000000000002,0.0066815144766146995,0.13043478260869565,0.012711864406779662,449
1.75,0.0053475935828877,0.08695652173913043,0.010075566750629723,374
1.8000000000000003,0.006172839506172839,0.08695652173913043,0.011527377521613832,324
1.85,0.00749063670411985,0.08695652173913043,0.013793103448275862,267
1.9000000000000004,0.004524886877828055,0.043478260869565216,0.00819672131147541,221
1.9500000000000002,0.005263157894736842,0.043478260869565216,0.009389671361502348,190
2.0,0.006993006993006993,0.043478260869565216,0.012048192771084338,143
2.05,0.009259259259259259,0.043478260869565216,0.015267175572519083,108
2.1000000000000005,0.012195121951219513,0.043478260869565216,0.01904761904761905,82
2.1500000000000004,0.016129032258064516,0.043478260869565216,0.023529411764705882,62
2.2,0.022222222222222223,0.043478260869565216,0.029411764705882353,45
2.25,0.03225806451612903,0.043478260869565216,0.037037037037037035,31
2.3,0.045454545454545456,0.043478260869565216,0.044444444444444446,22
2.3500000000000005,0.05555555555555555,0.043478260869565216,0.04878048780487805,18
2.4000000000000004,0.07692307692307693,0.043478260869565216,0.05555555555555555,13
2.45,0.1111111111111111,0.043478260869565216,0.0625,9
2.5,0.0,0.0,0.0,7
2.55,0.0,0.0,0.0,5
2.6000000000000005,0.0,0.0,0.0,5
2.6500000000000004,0.0,0.0,0.0,2
2.7,0.0,0.0,0.0,1
2.75,0.0,0.0,0.0,0
2.8000000000000007,0.0,0.0,0.0,0
2.8500000000000005,0.0,0.0,0.0,0
2.9000000000000004,0.0,0.0,0.0,0
2.95,0.0,0.0,0.0,0
3.0,0.0,0.0,0.0,0
3.0500000000000007,0.0,0.0,0.0,0
3.1000000000000005,0.0,0.0,0.0,0
3.1500000000000004,0.0,0.0,0.0,0
3.2,0.0,0.0,0.0,0
3.25,0.0,0.0,0.0,0
3.3000000000000007,0.0,0.0,0.0,0
3.3500000000000005,0.0,0.0,0.0,0
3.4000000000000004,0.0,0.0,0.0,0
3.45,0.0,0.0,0.0,0
3.5,0.0,0.0,0.0,0
3.5500000000000007,0.0,0.0,0.0,0
3.6000000000000005,0.0,0.0,0.0,0
3.6500000000000004,0.0,0.0,0.0,0
3.7,0.0,0.0,0.0,0
3.75,0.0,0.0,0.0,0
3.8000000000000007,0.0,0.0,0.0,0
3.8500000000000005,0.0,0.0,0.0,0
3.9000000000000004,0.0,0.0,0.0,0
3.95,0.0,0.0,0.0,0
4.0,0.0,0.0,0.0,0
